PR,URL,Title,Content type,Is rendered page,HTTP status code,Organic traffic,Depth,Meta description,Meta description patch,Meta description patch status,Meta description length,No. of meta descriptions,Is indexable page
10,http://www.kinexisdigital.com/en/industries/healthcare,Healthcare Marketing | KINEXIS,text/html; charset=utf-8,false,200,0,2,"Compliant patient acquisition, trust-building content, and measurable growth for care providers.",,,96,1,false
10,http://www.kinexisdigital.com/en/industries/home-services,Home Services Marketing | KINEXIS,text/html; charset=utf-8,false,200,0,2,"Local lead generation, service-area SEO, and paid campaigns for trades and contractors.",,,87,1,false
10,http://www.kinexisdigital.com/en/industries/manufacturing,Manufacturing Marketing | KINEXIS,text/html; charset=utf-8,false,200,0,2,"B2B demand generation, technical content, and account-based marketing for industrial buyers.",,,92,1,false
10,http://www.kinexisdigital.com/en/industries/financial-services,Financial Services Marketing | KINEXIS,text/html; charset=utf-8,false,200,0,2,"Trust-first positioning, compliant funnels, and high-intent lead capture for financial brands.",,,94,1,false
10,http://www.kinexisdigital.com/en/industries/professional-services,Professional Services Marketing | KINEXIS,text/html; charset=utf-8,false,200,0,2,"Authority-building content, trust signals, and demand generation for high-value client acquisition.",,,99,1,false
10,http://www.kinexisdigital.com/en/industries/technology,Technology Marketing | KINEXIS,text/html; charset=utf-8,false,200,0,2,"Scalable acquisition, product-led growth support, and demand gen for modern software companies.",,,95,1,false
10,http://www.kinexisdigital.com/en/terms,Terms of Service | KINEXIS,text/html; charset=utf-8,false,200,0,2,Terms governing your use of the KINEXIS Digital website and marketing services.,,,79,1,false
0,http://www.kinexisdigital.com/en/locations/des-moines/web-design,Web Design Des Moines | KINEXIS,text/html; charset=utf-8,false,200,0,3,"KINEXIS provides web design for Des Moines, Iowa. Local strategy and measurable results.",,,88,1,false
0,http://www.kinexisdigital.com/en/locations/austin/seo,SEO Austin | KINEXIS,text/html; charset=utf-8,false,200,0,3,"KINEXIS provides seo for Austin, Texas. Local strategy and measurable results.",,,78,1,false
0,http://www.kinexisdigital.com/en/locations/toronto/ppc-management,PPC Management Toronto | KINEXIS,text/html; charset=utf-8,false,200,0,3,"KINEXIS provides ppc management for Toronto, Ontario. Local strategy and measurable results.",,,92,1,false
0,http://www.kinexisdigital.com/en/locations/toronto/google-ads,Google Ads Toronto | KINEXIS,text/html; charset=utf-8,false,200,0,3,"KINEXIS provides google ads for Toronto, Ontario. Local strategy and measurable results.",,,88,1,false
0,http://www.kinexisdigital.com/en/locations/des-moines/seo,SEO Des Moines | KINEXIS,text/html; charset=utf-8,false,200,0,3,"KINEXIS provides seo for Des Moines, Iowa. Local strategy and measurable results.",,,81,1,false
0,http://www.kinexisdigital.com/en/locations/cedar-rapids/web-design,Web Design Cedar Rapids | KINEXIS,text/html; charset=utf-8,false,200,0,3,"KINEXIS provides web design for Cedar Rapids, Iowa. Local strategy and measurable results.",,,90,1,false
0,http://www.kinexisdigital.com/en/locations/bogota/seo,SEO Bogotá | KINEXIS,text/html; charset=utf-8,false,200,0,3,"KINEXIS provides seo for Bogotá, Cundinamarca. Local strategy and measurable results.",,,85,1,false
0,http://www.kinexisdigital.com/en/locations/dallas/ppc-management,PPC Management Dallas | KINEXIS,text/html; charset=utf-8,false,200,0,3,"KINEXIS provides ppc management for Dallas, Texas. Local strategy and measurable results.",,,89,1,false
0,http://www.kinexisdigital.com/en/locations/dallas/google-ads,Google Ads Dallas | KINEXIS,text/html; charset=utf-8,false,200,0,3,"KINEXIS provides google ads for Dallas, Texas. Local strategy and measurable results.",,,85,1,false
0,http://www.kinexisdigital.com/en/locations/waterloo/web-design,Web Design Waterloo | KINEXIS,text/html; charset=utf-8,false,200,0,3,"KINEXIS provides web design for Waterloo, Iowa. Local strategy and measurable results.",,,86,1,false
0,http://www.kinexisdigital.com/en/locations/cedar-falls/seo,SEO Cedar Falls | KINEXIS,text/html; charset=utf-8,false,200,0,3,"KINEXIS provides seo for Cedar Falls, Iowa. Local strategy and measurable results.",,,82,1,false
0,http://www.kinexisdigital.com/en/locations/des-moines/ppc-management,PPC Management Des Moines | KINEXIS,text/html; charset=utf-8,false,200,0,3,"KINEXIS provides ppc management for Des Moines, Iowa. Local strategy and measurable results.",,,92,1,false
0,http://www.kinexisdigital.com/en/locations/cedar-rapids/seo,SEO Cedar Rapids | KINEXIS,text/html; charset=utf-8,false,200,0,3,"KINEXIS provides seo for Cedar Rapids, Iowa. Local strategy and measurable results.",,,83,1,false
0,http://www.kinexisdigital.com/en/locations/austin/web-design,Web Design Austin | KINEXIS,text/html; charset=utf-8,false,200,0,3,"KINEXIS provides web design for Austin, Texas. Local strategy and measurable results.",,,85,1,false
0,http://www.kinexisdigital.com/en/locations/toronto/seo,SEO Toronto | KINEXIS,text/html; charset=utf-8,false,200,0,3,"KINEXIS provides seo for Toronto, Ontario. Local strategy and measurable results.",,,81,1,false
