PR,URL,Title,Content type,Is rendered page,HTTP status code,Organic traffic,Depth,Meta description,Meta description patch,Meta description patch status,Meta description length,No. of meta descriptions,Is indexable page
30,https://www.kinexisdigital.com/en/industries/professional-services,Professional Services Marketing | KINEXIS,text/html; charset=utf-8,false,200,0,0,"Authority-building content, trust signals, and demand generation for high-value client acquisition.",,,99,1,true
30,https://www.kinexisdigital.com/es/terms,Términos de Servicio | KINEXIS,text/html; charset=utf-8,false,200,0,0,Términos que rigen el uso del sitio web y los servicios de marketing de KINEXIS Digital.,,,88,1,true
30,https://www.kinexisdigital.com/es/google-ads-vs-seo,Google Ads vs SEO | ¿Qué Canal Conviene?,text/html; charset=utf-8,false,200,0,0,Compara Google Ads y SEO para generación de leads.,,,50,1,true
30,https://www.kinexisdigital.com/es/industries/professional-services,Professional Services Marketing | KINEXIS,text/html; charset=utf-8,false,200,0,0,"Authority-building content, trust signals, and demand generation for high-value client acquisition.",,,99,1,true
30,https://www.kinexisdigital.com/es/industries/technology,Technology Marketing | KINEXIS,text/html; charset=utf-8,false,200,0,0,"Scalable acquisition, product-led growth support, and demand gen for modern software companies.",,,95,1,true
30,https://www.kinexisdigital.com/en/industries/financial-services,Financial Services Marketing | KINEXIS,text/html; charset=utf-8,false,200,0,0,"Trust-first positioning, compliant funnels, and high-intent lead capture for financial brands.",,,94,1,true
30,https://www.kinexisdigital.com/es/industries/financial-services,Financial Services Marketing | KINEXIS,text/html; charset=utf-8,false,200,0,0,"Trust-first positioning, compliant funnels, and high-intent lead capture for financial brands.",,,94,1,true
30,https://www.kinexisdigital.com/en/industries/healthcare,Healthcare Marketing | KINEXIS,text/html; charset=utf-8,false,200,0,0,"Compliant patient acquisition, trust-building content, and measurable growth for care providers.",,,96,1,true
30,https://www.kinexisdigital.com/es/wordpress-vs-webflow,WordPress vs Webflow | ¿Qué Plataforma Elegir?,text/html; charset=utf-8,false,200,0,0,Comparación WordPress vs Webflow para sitios empresariales.,,,59,1,true
30,https://www.kinexisdigital.com/en/industries/home-services,Home Services Marketing | KINEXIS,text/html; charset=utf-8,false,200,0,0,"Local lead generation, service-area SEO, and paid campaigns for trades and contractors.",,,87,1,true
30,https://www.kinexisdigital.com/es/industries/home-services,Home Services Marketing | KINEXIS,text/html; charset=utf-8,false,200,0,0,"Local lead generation, service-area SEO, and paid campaigns for trades and contractors.",,,87,1,true
30,https://www.kinexisdigital.com/en/industries/manufacturing,Manufacturing Marketing | KINEXIS,text/html; charset=utf-8,false,200,0,0,"B2B demand generation, technical content, and account-based marketing for industrial buyers.",,,92,1,true
30,https://www.kinexisdigital.com/es/industries/healthcare,Healthcare Marketing | KINEXIS,text/html; charset=utf-8,false,200,0,0,"Compliant patient acquisition, trust-building content, and measurable growth for care providers.",,,96,1,true
30,https://www.kinexisdigital.com/es/local-seo-vs-google-ads,SEO Local vs Google Ads | ¿Mapa o Anuncios?,text/html; charset=utf-8,false,200,0,0,SEO local vs Google Ads para negocios de servicios.,,,51,1,true
30,https://www.kinexisdigital.com/en/terms,Terms of Service | KINEXIS,text/html; charset=utf-8,false,200,0,0,Terms governing your use of the KINEXIS Digital website and marketing services.,,,79,1,true
30,https://www.kinexisdigital.com/es/industries/manufacturing,Manufacturing Marketing | KINEXIS,text/html; charset=utf-8,false,200,0,0,"B2B demand generation, technical content, and account-based marketing for industrial buyers.",,,92,1,true
30,https://www.kinexisdigital.com/en/industries/technology,Technology Marketing | KINEXIS,text/html; charset=utf-8,false,200,0,0,"Scalable acquisition, product-led growth support, and demand gen for modern software companies.",,,95,1,true
20,https://www.kinexisdigital.com/en/locations/des-moines/ppc-management,PPC Management Des Moines | KINEXIS,text/html; charset=utf-8,false,200,0,0,"KINEXIS provides ppc management for Des Moines, Iowa. Local strategy and measurable results.",,,92,1,true
20,https://www.kinexisdigital.com/es/locations/bogota/web-design,Web Design Bogotá | KINEXIS,text/html; charset=utf-8,false,200,0,0,"KINEXIS provides web design for Bogotá, Cundinamarca. Local strategy and measurable results.",,,92,1,true
20,https://www.kinexisdigital.com/es/locations/dallas/web-design,Web Design Dallas | KINEXIS,text/html; charset=utf-8,false,200,0,0,"KINEXIS provides web design for Dallas, Texas. Local strategy and measurable results.",,,85,1,true
20,https://www.kinexisdigital.com/es/locations/dallas/seo,SEO Dallas | KINEXIS,text/html; charset=utf-8,false,200,0,0,"KINEXIS provides seo for Dallas, Texas. Local strategy and measurable results.",,,78,1,true
20,https://www.kinexisdigital.com/en/locations/toronto/seo,SEO Toronto | KINEXIS,text/html; charset=utf-8,false,200,0,0,"KINEXIS provides seo for Toronto, Ontario. Local strategy and measurable results.",,,81,1,true
20,https://www.kinexisdigital.com/es/locations/waterloo/ppc-management,PPC Management Waterloo | KINEXIS,text/html; charset=utf-8,false,200,0,0,"KINEXIS provides ppc management for Waterloo, Iowa. Local strategy and measurable results.",,,90,1,true
20,https://www.kinexisdigital.com/es/locations/cedar-falls/web-design,Web Design Cedar Falls | KINEXIS,text/html; charset=utf-8,false,200,0,0,"KINEXIS provides web design for Cedar Falls, Iowa. Local strategy and measurable results.",,,89,1,true
20,https://www.kinexisdigital.com/es/pricing/google-ads,"Precios Google Ads | Gestión desde $2,500/mes | KINEXIS",text/html; charset=utf-8,false,200,0,0,Precios transparentes de gestión Google Ads. Tarifas separadas del gasto publicitario.,,,86,1,true
20,https://www.kinexisdigital.com/en/locations/cedar-rapids/google-ads,Google Ads Cedar Rapids | KINEXIS,text/html; charset=utf-8,false,200,0,0,"KINEXIS provides google ads for Cedar Rapids, Iowa. Local strategy and measurable results.",,,90,1,true
20,https://www.kinexisdigital.com/en/locations/toronto/web-design,Web Design Toronto | KINEXIS,text/html; charset=utf-8,false,200,0,0,"KINEXIS provides web design for Toronto, Ontario. Local strategy and measurable results.",,,88,1,true
20,https://www.kinexisdigital.com/es/locations/toronto/seo,SEO Toronto | KINEXIS,text/html; charset=utf-8,false,200,0,0,"KINEXIS provides seo for Toronto, Ontario. Local strategy and measurable results.",,,81,1,true
20,https://www.kinexisdigital.com/es/locations/austin/ppc-management,PPC Management Austin | KINEXIS,text/html; charset=utf-8,false,200,0,0,"KINEXIS provides ppc management for Austin, Texas. Local strategy and measurable results.",,,89,1,true
20,https://www.kinexisdigital.com/en/locations/waterloo/web-design,Web Design Waterloo | KINEXIS,text/html; charset=utf-8,false,200,0,0,"KINEXIS provides web design for Waterloo, Iowa. Local strategy and measurable results.",,,86,1,true
20,https://www.kinexisdigital.com/es/locations/des-moines/google-ads,Google Ads Des Moines | KINEXIS,text/html; charset=utf-8,false,200,0,0,"KINEXIS provides google ads for Des Moines, Iowa. Local strategy and measurable results.",,,88,1,true
20,https://www.kinexisdigital.com/es/locations/toronto/ppc-management,PPC Management Toronto | KINEXIS,text/html; charset=utf-8,false,200,0,0,"KINEXIS provides ppc management for Toronto, Ontario. Local strategy and measurable results.",,,92,1,true
20,https://www.kinexisdigital.com/en/locations/cedar-falls/web-design,Web Design Cedar Falls | KINEXIS,text/html; charset=utf-8,false,200,0,0,"KINEXIS provides web design for Cedar Falls, Iowa. Local strategy and measurable results.",,,89,1,true
